tag,filename,full,chunk,full_length,chunk_length,chunk_count,file_type,sha256,shannon_entropy
"20201218","./netronome/bpf/nic_AMDA0096-0001_2x10.nffw","IA-64","OCaml","2239192","14336","7","ELF 64-bit LSB relocatable, *unknown arch 0x6000* version 1 (SYSV), not stripped","eb6b5e2e27242267bb1175add3a1e67935b95f58a0b68318bb6dd5ac9159b6aa","4.727016"
"20201218","./netronome/bpf/nic_AMDA0099-0001_2x10.nffw","IA-64","OCaml","2239192","14336","7","ELF 64-bit LSB relocatable, *unknown arch 0x6000* version 1 (SYSV), not stripped","523c4c3543e13ed4637c74471210e55648ec7631bc84b35faeec7f4da1eb3c7b","4.727007"
"20201218","./netronome/bpf/nic_AMDA0097-0001_2x40.nffw","IA-64","OCaml","2239384","14336","7","ELF 64-bit LSB relocatable, *unknown arch 0x6000* version 1 (SYSV), not stripped","326b4f48a67c869cdd865753c11537a6f065f004a751fb553f84471c2a493dd7","4.726795"
"20201218","./netronome/bpf/nic_AMDA0081-0001_1x40.nffw","IA-64","OCaml","2174120","14336","7","ELF 64-bit LSB relocatable, *unknown arch 0x6000* version 1 (SYSV), not stripped","ab411c9a74c2353c57b7c52f66359d3c60bd75c9716491946806b43bd6df8657","4.821070"
"20201218","./netronome/bpf/nic_AMDA0058-0011_2x40.nffw","IA-64","OCaml","2240160","14336","7","ELF 64-bit LSB relocatable, *unknown arch 0x6000* version 1 (SYSV), not stripped","6903a9ffcec518d98f38df0d8a0e20a80a82bcad355032d6d27da9dbce67170f","4.727331"
"20201218","./netronome/bpf/nic_AMDA0099-0001_2x25.nffw","IA-64","OCaml","2240088","14336","7","ELF 64-bit LSB relocatable, *unknown arch 0x6000* version 1 (SYSV), not stripped","3a29b86755439968c570e2bc5b84b4907d090e47381b47b092f0913a1f9a775d","4.726626"
"20201218","./netronome/bpf/nic_AMDA0099-0001_1x10_1x25.nffw","IA-64","OCaml","2240440","14336","7","ELF 64-bit LSB relocatable, *unknown arch 0x6000* version 1 (SYSV), not stripped","e7ed608e28c987e74cba1021693e3ea0628abbafd06c4d5ba69154a396f89b42","4.726930"
"20201218","./netronome/nic/nic_AMDA0081-0001_4x10.nffw","None","OCaml","3297408","16384","8","ELF 64-bit LSB relocatable, *unknown arch 0x6000* version 1 (SYSV), not stripped","4df3d11ffd0a374b6af18b470ed65cbe4967a4bf153db15ab2fc14de306adcac","3.514965"
"20201218","./netronome/nic/nic_AMDA0078-0011_1x100.nffw","None","OCaml","3180672","16384","8","ELF 64-bit LSB relocatable, *unknown arch 0x6000* version 1 (SYSV), not stripped","ecd5e17797da398c11abdd103046c63117a7a620f44d179c528f368a43b0673d","3.604157"
"20201218","./netronome/nic/nic_AMDA0097-0001_2x40.nffw","None","OCaml","3221944","20480","16","ELF 64-bit LSB relocatable, *unknown arch 0x6000* version 1 (SYSV), not stripped","981ba090666eefada11e14de4c0e868e39862f37fab043187230200b9bdf4527","3.575655"
"20201218","./netronome/nic/nic_AMDA0097-0001_8x10.nffw","None","OCaml","3449264","20480","16","ELF 64-bit LSB relocatable, *unknown arch 0x6000* version 1 (SYSV), not stripped","3f70efa44abb208333f78f114eb7237e9bb42240f317b20e4993805db62a45e4","3.401907"
"20201218","./netronome/nic/nic_AMDA0097-0001_4x10_1x40.nffw","None","OCaml","3335048","16384","8","ELF 64-bit LSB relocatable, *unknown arch 0x6000* version 1 (SYSV), not stripped","fee13c624abbb1b4c26a3b0d7304f9fc334cd7b35c6601a88deced583cd2a5ed","3.485978"
"20201218","./netronome/nic/nic_AMDA0096-0001_2x10.nffw","None","OCaml","3221848","20480","16","ELF 64-bit LSB relocatable, *unknown arch 0x6000* version 1 (SYSV), not stripped","d941752a1b41dca0ee836b1052a9d244e3801daabd50eb7122559ff15527c08a","3.574888"
"20201218","./hfi1_sbus.fw","None","6502","5360","512","2","data","515306073c1d47ccadc284ac392cd73d78d184c68fe1182536331c48b9aaee30","7.131942"
